id,匿名id,注册id,ABTest标签,app_channel,device_id,imei,information_user_first_use_app_time,is_media_aso,kaike_user,姓名,广告系列内容,广告系列名称,广告系列媒介,广告系列字词,广告系列来源,性别,所在行业,投资人,投资人第一次登录创投app月份,是否是36kr员工,注册手机所在市,注册手机所在省,渠道追踪匹配模式,生日,省份,职位,首次访问时间
-9.22295E+18,1637e5f9c9ed3293,,test03,xiaomi,1637e5f9c9ed3293,8.65736E+14,1.53427E+12,,,,,,,,,,,,,,,,,,,,
-9.22095E+18,af0a8245f514c5a,,"none,test03",,af0a8245f514c5a,8.64044E+14,1.5275E+12,,,,,,,,flyme,,,,,,,,,,,,
-9.21767E+18,5a47aaf892242cf6,51863,"none,test03",,5B49DC4A-0B9E-426A-B510-297FC6AC6C56,,1.51428E+12,,,,,,,,,,,,,,,,,,,,
-9.21676E+18,9093be60e450f6ad,19409390,"none,test01,test03",,9093be60e450f6ad,8.68823E+14,1.53325E+12,,,,,,,,,,,,,,,,,,,,
-9.2149E+18,F494B99A-04F6-4A21-A4AB-AD213B8DC5A3,,,,F494B99A-04F6-4A21-A4AB-AD213B8DC5A3,,1535224130,,,,,,,,,,,,,,,,,,,,08:50.
-9.21198E+18,6E4D6780-B2F0-4CE4-8040-B9655FB3C5D6,,"none,test01",,6E4D6780-B2F0-4CE4-8040-B9655FB3C5D6,,1531495684,,,,,,,,,,,,,,,,,,,,28:04.
-9.1982E+18,52531BBE-7C2F-4E20-B853-2C522089A09F,11001030,"none,test01",,52531BBE-7C2F-4E20-B853-2C522089A09F,,1530623474,,,,,,,,,male,,,,,,,,00:00.,,,
-9.19729E+18,1641579589e79c29,1146069200,"none,test03",,1641579589e79c29,8.68394E+14,1.5197E+12,,,,,,,,oppo,,,,,,,,,,,,
-9.18667E+18,36b172af79855f7a,,test03,oppo,36b172af79855f7a,8.6463E+14,1.53526E+12,,,,,,,,,,,,,,,,,,,,
-9.18564E+18,8MjMy24332491,2137197051,none,,BCABC11D-8E86-4BE9-95EE-0D559B66226D,,1514465254,,,,,,,,,,,,,,上海,上海,,,,,
-9.18535E+18,87C3E8F6-0D1A-4CCB-A542-66B192F42BF7,,none,,87C3E8F6-0D1A-4CCB-A542-66B192F42BF7,,1515668347,,,,,,,,,,,,,,,,,,,,
-9.18288E+18,48F3792B-2BED-44B4-9F0E-AD426F75CF98,1149073706,"none,test01,test03",,c66c68205e98d30d,8.63254E+14,1530815154,,,,,,,,,,,,,,,,,,,,25:54.
-9.18044E+18,ddab8600a4fa55f0,,"none,test01,test03",,ddab8600a4fa55f0,8.64678E+14,1.53232E+12,,,,,,,,huawei,,,,,,,,,,,,
-9.17869E+18,524CD3D6-7D60-44E8-A9C1-F62B5B532E3A,1704841820,"none,test03",,986F953C-75E0-4AD7-86B8-B758EC013142,,1513999559,,,,,,,,,,,,,,,,,,,,
-9.17573E+18,28d94d15630e3a20,1140109893,"none,test03",,1e390ccd75f2fb2d,3.57052E+14,1.51612E+12,,,,,,,,,,,,,,,,,,,,
-9.17047E+18,1041F967-5CB7-48AC-8928-1E38EBB26D62,,,,1041F967-5CB7-48AC-8928-1E38EBB26D62,,1535130434,,,,,,,,,,,,,,,,,,,,07:15.
-9.17022E+18,658519D9-C460-4B40-8096-7979EE126CD4,,none,,658519D9-C460-4B40-8096-7979EE126CD4,,1527645106,,,,,,,,,,,,,,,,,,,,
-9.16898E+18,22D8AF81-E7EA-48C7-B5F4-7CFE447C98EF,,,,22D8AF81-E7EA-48C7-B5F4-7CFE447C98EF,,1535298308,,,,,,,,,,,,,,,,,,,,45:09.
